table,col_id,row_id
50245608_0_871275842592178099,0,154
39107734_2_2329160387535788734,1,32
22864497_0_8632623712684511496,0,227
66009064_0_9148652238372261251,0,15
21362676_0_6854186738074119688,1,75
50245608_0_871275842592178099,0,186
40534006_0_4617468856744635526,1,1
36102169_0_7739454799295072814,2,286
53822652_0_5767892317858575530,1,141
60319454_0_3938426910282115527,0,29
8468806_0_4382447409703007384,1,75
50245608_0_871275842592178099,0,74
33401079_0_9127583903019856402,0,52
99070098_0_2074872741302696997,1,46
50270082_0_444360818941411589,1,22
22864497_0_8632623712684511496,0,322
29414811_12_251152470253168163,1,1
50270082_0_444360818941411589,1,119
39759273_0_1427898308030295194,1,88
66009064_0_9148652238372261251,0,197
69537082_0_7789694313271016902,1,211
88523363_0_8180214313099580515,0,546
41480166_0_6681239260286218499,0,177
66009064_0_9148652238372261251,0,219
9834884_0_3871985887467090123,1,9
36102169_0_7739454799295072814,2,248
88523363_0_8180214313099580515,0,338
26310680_0_5150772059999313798,1,220
39173938_0_7916056990138658530,1,46
91959037_0_7907661684242014480,1,147
91959037_0_7907661684242014480,1,22
13719111_1_5719401842463579519,0,48
54719588_0_8417197176086756912,3,101
13719111_1_5719401842463579519,0,443
58891288_0_1117541047012405958,1,95
28086084_0_3127660530989916727,0,137
21245481_0_8730460088443117515,1,103
90196673_0_5458330029110291950,0,190
35188621_0_6058553107571275232,1,104
91959037_0_7907661684242014480,1,283
29414811_12_251152470253168163,1,14
99070098_0_2074872741302696997,1,198
91959037_0_7907661684242014480,1,387
88523363_0_8180214313099580515,0,54
39173938_0_7916056990138658530,1,45
41480166_0_6681239260286218499,0,120
50270082_0_444360818941411589,1,158
46671561_0_6122315295162029872,0,136
54719588_0_8417197176086756912,3,195
13719111_1_5719401842463579519,0,132
50245608_0_871275842592178099,0,144
53822652_0_5767892317858575530,1,107
21245481_0_8730460088443117515,1,115
28086084_0_3127660530989916727,0,172
25404227_0_2240631045609013057,1,92
90196673_0_5458330029110291950,0,310
35188621_0_6058553107571275232,1,57
63450419_0_8012592961815711786,1,163
53822652_0_5767892317858575530,1,428
88523363_0_8180214313099580515,0,329
91959037_0_7907661684242014480,1,303
36102169_0_7739454799295072814,2,174
13719111_1_5719401842463579519,0,112
39107734_2_2329160387535788734,1,45
99070098_0_2074872741302696997,1,154
54719588_0_8417197176086756912,3,50
13719111_1_5719401842463579519,0,308
13719111_1_5719401842463579519,0,321
29414811_2_4773219892816395776,1,9
9834884_0_3871985887467090123,1,87
69537082_0_7789694313271016902,1,239
99070098_0_2074872741302696997,1,184
22864497_0_8632623712684511496,0,171
13719111_1_5719401842463579519,0,351
20135078_0_7570343137119682530,1,87
9834884_0_3871985887467090123,1,14
39650055_5_7135804139753401681,1,100
63450419_0_8012592961815711786,1,15
16767252_0_2409448375013995751,1,74
9475172_1_1023126399856690702,1,157
24036779_0_5608105867560183058,0,13
91959037_0_7907661684242014480,1,54
69881946_0_1105130426898457358,1,9
35188621_0_6058553107571275232,1,78
13719111_1_5719401842463579519,0,123
75367212_2_2745466355267233390,0,16
90196673_0_5458330029110291950,0,344
41480166_0_6681239260286218499,0,108
84575189_0_6365692015941409487,2,44
26310680_0_5150772059999313798,1,193
21245481_0_8730460088443117515,1,130
21245481_0_8730460088443117515,1,64
50245608_0_871275842592178099,0,90
36102169_0_7739454799295072814,2,326
88523363_0_8180214313099580515,0,10
84548468_0_5955155464119382182,1,77
91959037_0_7907661684242014480,1,223
46671561_0_6122315295162029872,0,130
52299421_0_4473286348258170200,1,79
91959037_0_7907661684242014480,1,347
28086084_0_3127660530989916727,0,1
22864497_0_8632623712684511496,0,66
21362676_0_6854186738074119688,1,18
63450419_0_8012592961815711786,1,126
63450419_0_8012592961815711786,1,137
90196673_0_5458330029110291950,0,212
21245481_0_8730460088443117515,1,74
50245608_0_871275842592178099,0,290
21245481_0_8730460088443117515,1,51
69537082_0_7789694313271016902,1,91
50245608_0_871275842592178099,0,249
88523363_0_8180214313099580515,0,104
54719588_0_8417197176086756912,3,248
46671561_0_6122315295162029872,0,125
88523363_0_8180214313099580515,0,584
37856682_0_6818907050314633217,0,32
21362676_0_6854186738074119688,1,50
69537082_0_7789694313271016902,1,195
38428277_0_1311643810102462607,1,50
21245481_0_8730460088443117515,1,193
63450419_0_8012592961815711786,1,61
88523363_0_8180214313099580515,0,114
36102169_0_7739454799295072814,2,103
84575189_0_6365692015941409487,2,5
66009064_0_9148652238372261251,0,116
22864497_0_8632623712684511496,0,219
41336118_0_4331895026409635103,0,23
22864497_0_8632623712684511496,0,202
50245608_0_871275842592178099,0,41
90196673_0_5458330029110291950,0,395
9475172_1_1023126399856690702,1,6
88523363_0_8180214313099580515,0,81
35188621_0_6058553107571275232,1,95
22864497_0_8632623712684511496,0,68
37856682_0_6818907050314633217,0,3
50245608_0_871275842592178099,0,16
24036779_0_5608105867560183058,0,48
33401079_0_9127583903019856402,0,11
88523363_0_8180214313099580515,0,566
46671561_0_6122315295162029872,0,151
9834884_0_3871985887467090123,1,220
39173938_0_7916056990138658530,1,10
25404227_0_2240631045609013057,1,9
91959037_0_7907661684242014480,1,359
40534006_0_4617468856744635526,1,28
41480166_0_6681239260286218499,0,19
28086084_0_3127660530989916727,0,57
37856682_0_6818907050314633217,0,193
13719111_1_5719401842463579519,0,40
54719588_0_8417197176086756912,3,185
90196673_0_5458330029110291950,0,278
20135078_0_7570343137119682530,1,4
69537082_0_7789694313271016902,1,133
9834884_0_3871985887467090123,1,198
99070098_0_2074872741302696997,1,178
91959037_0_7907661684242014480,1,118
91959037_0_7907661684242014480,1,208
53822652_0_5767892317858575530,1,159
26310680_0_5150772059999313798,1,83
37856682_0_6818907050314633217,0,4
91959037_0_7907661684242014480,1,262
53822652_0_5767892317858575530,1,110
13719111_1_5719401842463579519,0,557
71840765_0_6664391841933033844,0,8
50270082_0_444360818941411589,1,17
63450419_0_8012592961815711786,1,29
25404227_0_2240631045609013057,1,61
69537082_0_7789694313271016902,1,157
38428277_0_1311643810102462607,1,100
25404227_0_2240631045609013057,1,14
84548468_0_5955155464119382182,1,82
52299421_0_4473286348258170200,1,3
90196673_0_5458330029110291950,0,21
22864497_0_8632623712684511496,0,181
88523363_0_8180214313099580515,0,339
88523363_0_8180214313099580515,0,403
13719111_1_5719401842463579519,0,225
77694908_0_6083291340991074532,1,86
88523363_0_8180214313099580515,0,283
91959037_0_7907661684242014480,1,286
41480166_0_6681239260286218499,0,82
9834884_0_3871985887467090123,1,230
26310680_0_5150772059999313798,1,197
39759273_0_1427898308030295194,1,3
43237185_1_3636357855502246981,0,12
69537082_0_7789694313271016902,1,51
26310680_0_5150772059999313798,1,65
13719111_1_5719401842463579519,0,136
9834884_0_3871985887467090123,1,132
22864497_0_8632623712684511496,0,272
22864497_0_8632623712684511496,0,285
53822652_0_5767892317858575530,1,47
8468806_0_4382447409703007384,1,13
13719111_1_5719401842463579519,0,398
66009064_0_9148652238372261251,0,93
63450419_0_8012592961815711786,1,19
45073662_0_3179937335063201739,1,15
39173938_0_7916056990138658530,1,94
16767252_0_2409448375013995751,1,14
91959037_0_7907661684242014480,1,260
36102169_0_7739454799295072814,2,177
77694908_0_6083291340991074532,1,2
39107734_2_2329160387535788734,1,11
88523363_0_8180214313099580515,0,391
24036779_0_5608105867560183058,0,11
20135078_0_7570343137119682530,1,74
91959037_0_7907661684242014480,1,119
22864497_0_8632623712684511496,0,197
38428277_0_1311643810102462607,1,43
91959037_0_7907661684242014480,1,76
13719111_1_5719401842463579519,0,301
35188621_0_6058553107571275232,1,61
26310680_0_5150772059999313798,1,176
40534006_0_4617468856744635526,1,21
13719111_1_5719401842463579519,0,418
46671561_0_6122315295162029872,0,129
13719111_1_5719401842463579519,0,281
50245608_0_871275842592178099,0,97
11833461_1_3811022039809817402,0,21
53822652_0_5767892317858575530,1,334
91959037_0_7907661684242014480,1,174
9475172_1_1023126399856690702,1,111
53822652_0_5767892317858575530,1,83
13719111_1_5719401842463579519,0,26
58891288_0_1117541047012405958,1,23
22864497_0_8632623712684511496,0,250
25404227_0_2240631045609013057,1,25
50245608_0_871275842592178099,0,128
41480166_0_6681239260286218499,0,95
35188621_0_6058553107571275232,1,102
9834884_0_3871985887467090123,1,21
20135078_0_7570343137119682530,1,59
26310680_0_5150772059999313798,1,15
41480166_0_6681239260286218499,0,214
84548468_0_5955155464119382182,1,51
22864497_0_8632623712684511496,0,45
37856682_0_6818907050314633217,0,39
63450419_0_8012592961815711786,1,142
