"table","col_id","row_id","entity"
"10151359_0_8168779773862259178","0","70","http://dbpedia.org/resource/The_Grapes_of_Wrath"
"10151359_0_8168779773862259178","0","93","http://dbpedia.org/resource/The_Jungle"
"10151359_0_8168779773862259178","0","69","http://dbpedia.org/resource/Goosebumps"
"10151359_0_8168779773862259178","0","47","http://dbpedia.org/resource/A_Day_No_Pigs_Would_Die"
"10151359_0_8168779773862259178","0","100","http://dbpedia.org/resource/Lord_of_the_Flies"
"10151359_0_8168779773862259178","0","131","http://dbpedia.org/resource/The_Stupids"
"10151359_0_8168779773862259178","0","126","http://dbpedia.org/resource/Slaughterhouse-Five"
"10151359_0_8168779773862259178","0","62","http://dbpedia.org/resource/Forever..._(Blume_novel)"
"10151359_0_8168779773862259178","0","116","http://dbpedia.org/resource/Private_Parts_(book)"
"10151359_0_8168779773862259178","0","3","http://dbpedia.org/resource/The_Adventures_of_Tom_Sawyer"
"10151359_0_8168779773862259178","0","105","http://dbpedia.org/resource/Native_Son"
"10151359_0_8168779773862259178","0","142","http://dbpedia.org/resource/Whale_Talk"
"10151359_0_8168779773862259178","0","148","http://dbpedia.org/resource/The_Witches_(book)"
"10151359_0_8168779773862259178","0","28","http://dbpedia.org/resource/Brave_New_World"
"10151359_0_8168779773862259178","0","117","http://dbpedia.org/resource/Rabbit,_Run"
"10151359_0_8168779773862259178","0","53","http://dbpedia.org/resource/The_Exorcist"
"10151359_0_8168779773862259178","0","141","http://dbpedia.org/resource/We_All_Fall_Down_(Robert_Cormier_novel)"
"10151359_0_8168779773862259178","0","129","http://dbpedia.org/resource/Song_of_Solomon_(novel)"
"10151359_0_8168779773862259178","0","68","http://dbpedia.org/resource/Gone_with_the_Wind"
"10151359_0_8168779773862259178","0","104","http://dbpedia.org/resource/Naked_Lunch"
"10151359_0_8168779773862259178","0","102","http://dbpedia.org/resource/My_Brother_Sam_Is_Dead"
"10151359_0_8168779773862259178","0","133","http://dbpedia.org/resource/The_Sun_Also_Rises"
"10151359_0_8168779773862259178","0","147","http://dbpedia.org/resource/The_Wish_Giver"
"10151359_0_8168779773862259178","0","134","http://dbpedia.org/resource/The_Way_We_Live_Now"
"10151359_0_8168779773862259178","0","26","http://dbpedia.org/resource/The_Boy_Who_Lost_His_Face"
"10151359_0_8168779773862259178","0","149","http://dbpedia.org/resource/Women_in_Love"
"10151359_0_8168779773862259178","0","67","http://dbpedia.org/resource/The_Men_Who_Stare_at_Goats"
"10151359_0_8168779773862259178","0","57","http://dbpedia.org/resource/Family_Secrets_(novel)"
"10151359_0_8168779773862259178","0","79","http://dbpedia.org/resource/The_House_of_the_Spirits"
"10151359_0_8168779773862259178","0","121","http://dbpedia.org/resource/The_Satanic_Verses"
"10151359_0_8168779773862259178","0","98","http://dbpedia.org/resource/The_Story_of_Little_Black_Sambo"
"10151359_0_8168779773862259178","0","6","http://dbpedia.org/resource/Always_Running"
"10151359_0_8168779773862259178","0","89","http://dbpedia.org/resource/Jay's_Journal"
"10151359_0_8168779773862259178","0","90","http://dbpedia.org/resource/Julie_of_the_Wolves"
"10151359_0_8168779773862259178","0","22","http://dbpedia.org/resource/Bless_Me,_Ultima"
"10151359_0_8168779773862259178","0","12","http://dbpedia.org/resource/Angus,_Thongs_and_Full-Frontal_Snogging"
"10151359_0_8168779773862259178","0","66","http://dbpedia.org/resource/Go_Tell_It_on_the_Mountain_(novel)"
"10151359_0_8168779773862259178","0","132","http://dbpedia.org/resource/Summer_of_My_German_Soldier"
"10151359_0_8168779773862259178","0","24","http://dbpedia.org/resource/Blubber_(novel)"
"10151359_0_8168779773862259178","0","44","http://dbpedia.org/resource/Curses,_Hexes_and_Spells"
"10151359_0_8168779773862259178","0","113","http://dbpedia.org/resource/The_Perks_of_Being_a_Wallflower"
"10151359_0_8168779773862259178","0","15","http://dbpedia.org/resource/Arming_America"
"10151359_0_8168779773862259178","0","137","http://dbpedia.org/resource/To_Kill_a_Mockingbird"
"10151359_0_8168779773862259178","0","23","http://dbpedia.org/resource/Blood_and_Chocolate_(novel)"
"10151359_0_8168779773862259178","0","97","http://dbpedia.org/resource/A_Light_in_the_Attic"
"10151359_0_8168779773862259178","0","45","http://dbpedia.org/resource/Cut_(novel)"
