table,col_id,row_id
10151359_0_8168779773862259178,0,70
10151359_0_8168779773862259178,0,93
10151359_0_8168779773862259178,0,69
10151359_0_8168779773862259178,0,47
10151359_0_8168779773862259178,0,100
10151359_0_8168779773862259178,0,131
10151359_0_8168779773862259178,0,126
10151359_0_8168779773862259178,0,62
10151359_0_8168779773862259178,0,116
10151359_0_8168779773862259178,0,3
10151359_0_8168779773862259178,0,105
10151359_0_8168779773862259178,0,142
10151359_0_8168779773862259178,0,148
10151359_0_8168779773862259178,0,28
10151359_0_8168779773862259178,0,117
10151359_0_8168779773862259178,0,53
10151359_0_8168779773862259178,0,141
10151359_0_8168779773862259178,0,129
10151359_0_8168779773862259178,0,68
10151359_0_8168779773862259178,0,104
10151359_0_8168779773862259178,0,102
10151359_0_8168779773862259178,0,133
10151359_0_8168779773862259178,0,147
10151359_0_8168779773862259178,0,134
10151359_0_8168779773862259178,0,26
10151359_0_8168779773862259178,0,149
10151359_0_8168779773862259178,0,67
10151359_0_8168779773862259178,0,57
10151359_0_8168779773862259178,0,79
10151359_0_8168779773862259178,0,121
10151359_0_8168779773862259178,0,98
10151359_0_8168779773862259178,0,6
10151359_0_8168779773862259178,0,89
10151359_0_8168779773862259178,0,90
10151359_0_8168779773862259178,0,22
10151359_0_8168779773862259178,0,12
10151359_0_8168779773862259178,0,66
10151359_0_8168779773862259178,0,132
10151359_0_8168779773862259178,0,24
10151359_0_8168779773862259178,0,44
10151359_0_8168779773862259178,0,113
10151359_0_8168779773862259178,0,15
10151359_0_8168779773862259178,0,137
10151359_0_8168779773862259178,0,23
10151359_0_8168779773862259178,0,97
10151359_0_8168779773862259178,0,45
10151359_0_8168779773862259178,0,72
10151359_0_8168779773862259178,0,55
10151359_0_8168779773862259178,0,9
10151359_0_8168779773862259178,0,151
10151359_0_8168779773862259178,0,1
10151359_0_8168779773862259178,0,84
10151359_0_8168779773862259178,0,64
10151359_0_8168779773862259178,0,2
10151359_0_8168779773862259178,0,65
10151359_0_8168779773862259178,0,80
10151359_0_8168779773862259178,0,7
10151359_0_8168779773862259178,0,11
10151359_0_8168779773862259178,0,52
10151359_0_8168779773862259178,0,76
10151359_0_8168779773862259178,0,81
10151359_0_8168779773862259178,0,20
10151359_0_8168779773862259178,0,34
10151359_0_8168779773862259178,0,78
10151359_0_8168779773862259178,0,59
10151359_0_8168779773862259178,0,138
10151359_0_8168779773862259178,0,115
10151359_0_8168779773862259178,0,63
10151359_0_8168779773862259178,0,101
10151359_0_8168779773862259178,0,73
10151359_0_8168779773862259178,0,82
10151359_0_8168779773862259178,0,86
10151359_0_8168779773862259178,0,46
10151359_0_8168779773862259178,0,49
10151359_0_8168779773862259178,0,150
10151359_0_8168779773862259178,0,135
10151359_0_8168779773862259178,0,83
10151359_0_8168779773862259178,0,32
10151359_0_8168779773862259178,0,5
10151359_0_8168779773862259178,0,110
10151359_0_8168779773862259178,0,35
10151359_0_8168779773862259178,0,112
10151359_0_8168779773862259178,0,74
10151359_0_8168779773862259178,0,60
10151359_0_8168779773862259178,0,56
10151359_0_8168779773862259178,0,103
10151359_0_8168779773862259178,0,95
10151359_0_8168779773862259178,0,88
10151359_0_8168779773862259178,0,71
10151359_0_8168779773862259178,0,94
10151359_0_8168779773862259178,0,139
10151359_0_8168779773862259178,0,108
10151359_0_8168779773862259178,0,77
10151359_0_8168779773862259178,0,109
10151359_0_8168779773862259178,0,48
10151359_0_8168779773862259178,0,39
10151359_0_8168779773862259178,0,96
10151359_0_8168779773862259178,0,25
10151359_0_8168779773862259178,0,130
10151359_0_8168779773862259178,0,29
10151359_0_8168779773862259178,0,136
10151359_0_8168779773862259178,0,125
10151359_0_8168779773862259178,0,111
10151359_0_8168779773862259178,0,17
10151359_0_8168779773862259178,0,14
10151359_0_8168779773862259178,0,87
10151359_0_8168779773862259178,0,107
10151359_0_8168779773862259178,0,10
10151359_0_8168779773862259178,0,58
10151359_0_8168779773862259178,0,41
10151359_0_8168779773862259178,0,114
10151359_0_8168779773862259178,0,50
10151359_0_8168779773862259178,0,54
10151359_0_8168779773862259178,0,119
10151359_0_8168779773862259178,0,128
10151359_0_8168779773862259178,0,143
10151359_0_8168779773862259178,0,61
10151359_0_8168779773862259178,0,19
10151359_0_8168779773862259178,0,106
10151359_0_8168779773862259178,0,8
10151359_0_8168779773862259178,0,4
10151359_0_8168779773862259178,0,40
10151359_0_8168779773862259178,0,37
10151359_0_8168779773862259178,0,33
10151359_0_8168779773862259178,0,92
10151359_0_8168779773862259178,0,85
10151359_0_8168779773862259178,0,127
10151359_0_8168779773862259178,0,99
10151359_0_8168779773862259178,0,16
10151359_0_8168779773862259178,0,13
10151359_0_8168779773862259178,0,31
10151359_0_8168779773862259178,0,124
10151359_0_8168779773862259178,0,36
10151359_0_8168779773862259178,0,43
10151359_0_8168779773862259178,0,38
10151359_0_8168779773862259178,0,75
10151359_0_8168779773862259178,0,123
10151359_0_8168779773862259178,0,21
10579449_0_1681126353774891032,1,16
10579449_0_1681126353774891032,1,14
10579449_0_1681126353774891032,1,20
10579449_0_1681126353774891032,1,2
10579449_0_1681126353774891032,1,13
10579449_0_1681126353774891032,1,10
10579449_0_1681126353774891032,1,5
10579449_0_1681126353774891032,1,8
10579449_0_1681126353774891032,1,6
10579449_0_1681126353774891032,1,1
10579449_0_1681126353774891032,1,7
10579449_0_1681126353774891032,1,11
10579449_0_1681126353774891032,1,17
10579449_0_1681126353774891032,1,21
10579449_0_1681126353774891032,1,18
10579449_0_1681126353774891032,1,9
10630177_0_4831842476649004753,2,111
10630177_0_4831842476649004753,2,115
10630177_0_4831842476649004753,2,72
10630177_0_4831842476649004753,2,166
10630177_0_4831842476649004753,2,23
10630177_0_4831842476649004753,2,78
10630177_0_4831842476649004753,2,141
10630177_0_4831842476649004753,2,130
10630177_0_4831842476649004753,2,90
10630177_0_4831842476649004753,2,18
10630177_0_4831842476649004753,2,33
10630177_0_4831842476649004753,2,57
10630177_0_4831842476649004753,2,174
10630177_0_4831842476649004753,2,42
10630177_0_4831842476649004753,2,165
10630177_0_4831842476649004753,2,189
10630177_0_4831842476649004753,2,94
10630177_0_4831842476649004753,2,39
10630177_0_4831842476649004753,2,92
10630177_0_4831842476649004753,2,22
10630177_0_4831842476649004753,2,199
10630177_0_4831842476649004753,2,126
10630177_0_4831842476649004753,2,3
10630177_0_4831842476649004753,2,20
10630177_0_4831842476649004753,2,61
10630177_0_4831842476649004753,2,179
10630177_0_4831842476649004753,2,184
10630177_0_4831842476649004753,2,32
10630177_0_4831842476649004753,2,151
10630177_0_4831842476649004753,2,89
10630177_0_4831842476649004753,2,10
10630177_0_4831842476649004753,2,25
10630177_0_4831842476649004753,2,135
10630177_0_4831842476649004753,2,47
10630177_0_4831842476649004753,2,59
10630177_0_4831842476649004753,2,87
10630177_0_4831842476649004753,2,85
10630177_0_4831842476649004753,2,170
10630177_0_4831842476649004753,2,63
10630177_0_4831842476649004753,2,14
10630177_0_4831842476649004753,2,38
10630177_0_4831842476649004753,2,31
10630177_0_4831842476649004753,2,76
10630177_0_4831842476649004753,2,12
10630177_0_4831842476649004753,2,13
10630177_0_4831842476649004753,2,159
10630177_0_4831842476649004753,2,88
10630177_0_4831842476649004753,2,156
10630177_0_4831842476649004753,2,54
10630177_0_4831842476649004753,2,155
10630177_0_4831842476649004753,2,183
10630177_0_4831842476649004753,2,82
10630177_0_4831842476649004753,2,172
10630177_0_4831842476649004753,2,113
10630177_0_4831842476649004753,2,26
10630177_0_4831842476649004753,2,116
10630177_0_4831842476649004753,2,110
10630177_0_4831842476649004753,2,19
10630177_0_4831842476649004753,2,96
10630177_0_4831842476649004753,2,137
10630177_0_4831842476649004753,2,62
10630177_0_4831842476649004753,2,186
10630177_0_4831842476649004753,2,77
10630177_0_4831842476649004753,2,149
10630177_0_4831842476649004753,2,167
10630177_0_4831842476649004753,2,27
10630177_0_4831842476649004753,2,95
10630177_0_4831842476649004753,2,106
10630177_0_4831842476649004753,2,101
10630177_0_4831842476649004753,2,152
10630177_0_4831842476649004753,2,15
10630177_0_4831842476649004753,2,193
10630177_0_4831842476649004753,2,68
10630177_0_4831842476649004753,2,200
10630177_0_4831842476649004753,2,83
10630177_0_4831842476649004753,2,136
10630177_0_4831842476649004753,2,138
10630177_0_4831842476649004753,2,98
10630177_0_4831842476649004753,2,139
10630177_0_4831842476649004753,2,53
10630177_0_4831842476649004753,2,133
10630177_0_4831842476649004753,2,197
10630177_0_4831842476649004753,2,9
10630177_0_4831842476649004753,2,185
10630177_0_4831842476649004753,2,103
10630177_0_4831842476649004753,2,153
10630177_0_4831842476649004753,2,7
10630177_0_4831842476649004753,2,194
10630177_0_4831842476649004753,2,5
10630177_0_4831842476649004753,2,160
10630177_0_4831842476649004753,2,8
10630177_0_4831842476649004753,2,105
10630177_0_4831842476649004753,2,140
10630177_0_4831842476649004753,2,125
10630177_0_4831842476649004753,2,60
10630177_0_4831842476649004753,2,134
10630177_0_4831842476649004753,2,21
10630177_0_4831842476649004753,2,129
10630177_0_4831842476649004753,2,40
10630177_0_4831842476649004753,2,145
10630177_0_4831842476649004753,2,52
10630177_0_4831842476649004753,2,163
10630177_0_4831842476649004753,2,178
10630177_0_4831842476649004753,2,81
10630177_0_4831842476649004753,2,65
10630177_0_4831842476649004753,2,181
10630177_0_4831842476649004753,2,1
10630177_0_4831842476649004753,2,171
10630177_0_4831842476649004753,2,24
10630177_0_4831842476649004753,2,107
10630177_0_4831842476649004753,2,102
10630177_0_4831842476649004753,2,158
10630177_0_4831842476649004753,2,120
10630177_0_4831842476649004753,2,118
10630177_0_4831842476649004753,2,93
10630177_0_4831842476649004753,2,173
10630177_0_4831842476649004753,2,71
10630177_0_4831842476649004753,2,30
10630177_0_4831842476649004753,2,45
10630177_0_4831842476649004753,2,43
10630177_0_4831842476649004753,2,11
10630177_0_4831842476649004753,2,114
10630177_0_4831842476649004753,2,127
10630177_0_4831842476649004753,2,123
10630177_0_4831842476649004753,2,75
10630177_0_4831842476649004753,2,36
10630177_0_4831842476649004753,2,2
10630177_0_4831842476649004753,2,97
10630177_0_4831842476649004753,2,64
10630177_0_4831842476649004753,2,124
10630177_0_4831842476649004753,2,157
10630177_0_4831842476649004753,2,119
10630177_0_4831842476649004753,2,112
10630177_0_4831842476649004753,2,147
10630177_0_4831842476649004753,2,17
10630177_0_4831842476649004753,2,196
10630177_0_4831842476649004753,2,150
10630177_0_4831842476649004753,2,91
10630177_0_4831842476649004753,2,56
10630177_0_4831842476649004753,2,86
10630177_0_4831842476649004753,2,99
10630177_0_4831842476649004753,2,84
10630177_0_4831842476649004753,2,108
10630177_0_4831842476649004753,2,51
10630177_0_4831842476649004753,2,198
10630177_0_4831842476649004753,2,169
10630177_0_4831842476649004753,2,55
10630177_0_4831842476649004753,2,74
10630177_0_4831842476649004753,2,180
10630177_0_4831842476649004753,2,34
10630177_0_4831842476649004753,2,192
10630177_0_4831842476649004753,2,121
10630177_0_4831842476649004753,2,67
10630177_0_4831842476649004753,2,142
10630177_0_4831842476649004753,2,46
10630177_0_4831842476649004753,2,70
10630177_0_4831842476649004753,2,41
